id,name,type_line,power,toughness,colors,text,image
"soc-6","Spirit","Token Creature — Spirit","1","1","W","Flying","https://cards.scryfall.io/normal/front/6/f/6f5a5786-e2be-4bb0-b971-81d1d5cc8f52.jpg?1783903574"
"otj-7","Bird","Token Creature — Bird","1","1","U","Flying","https://cards.scryfall.io/normal/front/0/0/000d9280-a79a-4f9f-822c-7aaecbff3337.jpg?1783911527"
"vow-11","Wolf","Token Creature — Wolf","3","2","R","","https://cards.scryfall.io/normal/front/0/0/001cc57e-f3fc-4790-a9e5-171b2e3e8739.jpg?1783924696"
"hob-4","Goblin Army Token","Token Creature — Goblin Army","0","0","B","","https://cards.scryfall.io/normal/front/0/0/0045408d-4ab9-48bf-84aa-c6d827682090.jpg?1784377368"
"msc-1","Copy","Token","","","","(This token can be used to represent a token that's a copy of a permanent.)","https://cards.scryfall.io/normal/front/b/2/b2a03ba1-2182-4074-99f5-f3952c1d37ec.jpg?1783902815"
"msh-12","Insect","Token Creature — Insect","1","1","G","","https://cards.scryfall.io/normal/front/e/5/e5aa36ec-5f3a-405d-9a65-5a56a44dcee3.jpg?1783902801"
"fin-26","Hero","Token Creature — Hero","1","1","","","https://cards.scryfall.io/normal/front/0/0/00686381-e0a5-4cd3-8812-3b4aaefa31fa.jpg?1783906127"
"soc-18","Saproling","Token Creature — Saproling","1","1","G","","https://cards.scryfall.io/normal/front/2/4/248ade83-ac57-42d6-985c-1e4cc3639f36.jpg?1783903570"
"msc-13","Rhino","Token Creature — Rhino","4","4","G","Trample","https://cards.scryfall.io/normal/front/6/2/62ba25b3-fbf5-40b8-9dbd-66215a31a258.jpg?1783902812"
"blb-10","Bat","Token Creature — Bat","1","1","B","Flying","https://cards.scryfall.io/normal/front/1/0/100c0127-49dd-4a78-9c88-1881e7923674.jpg?1783909768"
"otj-12","Elemental","Token Creature — Elemental","*","*","G","","https://cards.scryfall.io/normal/front/0/0/008695e6-6d6f-4c16-bf05-377e8cc5f5ff.jpg?1783911524"
"big-3","Construct","Token Artifact Creature — Construct","0","0","","This creature gets +1/+1 for each artifact you control.","https://cards.scryfall.io/normal/front/3/8/3877d2d1-61f2-4295-b0fc-827965eaaefc.jpg?1783911690"
"msh-17","Clue","Token Artifact — Clue","","","","{2}, Sacrifice this token: Draw a card.","https://cards.scryfall.io/normal/front/5/e/5e644586-888f-4e2e-8d66-8aa02bd79ec1.jpg?1783902798"
"pca-12","Hellion","Token Creature — Hellion","4","4","R","","https://cards.scryfall.io/normal/front/0/0/00a1209e-c4c3-4250-ad36-ef451f5e34cd.jpg?1783936802"
"otj-17","Meteorite","Token Artifact","","","","When Meteorite enters the battlefield, it deals 2 damage to any target. {T}: Add one mana of any color.","https://cards.scryfall.io/normal/front/0/0/00b41ca9-0bf0-41fc-af65-854e602ee007.jpg?1783911520"
"eoe-1","Sliver","Token Creature — Sliver","1","1","","","https://cards.scryfall.io/normal/front/b/f/bf7501ee-783d-49c6-b381-1db056360b40.jpg?1783905787"
"blc-26","Cat","Token Creature — Cat","2","2","G","","https://cards.scryfall.io/normal/front/2/1/21450a75-26ec-4344-bebc-d55c2cf3fc1c.jpg?1783909753"
"fdn-9","Faerie","Token Creature — Faerie","1","1","U","Flying","https://cards.scryfall.io/normal/front/d/1/d1c0556e-ba3c-4a8e-b704-8eaa7c4dba1c.jpg?1783908591"
"soc-30","Manifest","Creature","2","2","","(You can cover a face-down manifested creature with this reminder card. A manifested creature card can be turned face up any time for its mana cost. A face-down card can also be turned face up for its morph cost.)","https://cards.scryfall.io/normal/front/0/e/0eb1e449-d7ce-4d87-a589-7ae5e3f0951d.jpg?1783903566"
"sld-2549","Food","Token Artifact — Food","","","","{2}, {T}, Sacrifice this token: You gain 3 life.","https://cards.scryfall.io/normal/front/1/1/110f41a6-1ca5-463e-8a6d-fdf021842b43.jpg?1784288722"
"tla-8","Ally","Token Creature — Ally","1","1","W","","https://cards.scryfall.io/normal/front/0/1/01439983-8394-4a0c-9e9e-92a3f1927fe3.jpg?1783904746"
"msc-16","The Monarch","Card","","","","At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.","https://cards.scryfall.io/normal/front/f/c/fca6ceed-a7d3-47a2-bb0d-7582e596c1f6.jpg?1783902810"
"med-g4","Elspeth, Knight-Errant Emblem","Emblem — Elspeth","","","","Artifacts, creatures, enchantments, and lands you control have indestructible.","https://cards.scryfall.io/normal/front/6/a/6a62619f-a432-4314-b018-7eacda9252a7.jpg?1783934209"
"ecl-5","Faerie","Token Creature — Faerie","1","1","BU","Flying","https://cards.scryfall.io/normal/front/0/1/01524db2-c96f-4902-8394-bc7a7128e573.jpg?1783904325"
"tdc-25","Spider","Token Creature — Spider","1","2","G","Reach","https://cards.scryfall.io/normal/front/a/3/a351094c-2315-4e95-89ed-16a1866f67cb.jpg?1783906796"
"inr-24","Chandra, Dressed to Kill Emblem","Emblem","","","","Whenever you cast a red spell, this emblem deals X damage to any target, where X is the amount of mana spent to cast that spell.","https://cards.scryfall.io/normal/front/c/8/c8437d0b-e4f9-4986-be20-ecd9bf238730.jpg?1783907962"
"soc-16","Frog Lizard","Token Creature — Frog Lizard","3","3","G","","https://cards.scryfall.io/normal/front/4/2/42e98a20-325e-476f-8297-cbe8e09d85b2.jpg?1783903571"
"tsr-7","Giant","Token Creature — Giant","4","4","R","","https://cards.scryfall.io/normal/front/0/1/0197284c-3c17-438b-a46d-83131d56c768.jpg?1783927695"
