id,name,type_line,power,toughness,colors,text,image,back,variants
"mpr-5","Spirit","Token Creature — Spirit","1","1","W","Flying","https://cards.scryfall.io/normal/front/1/4/14ef4815-3dfe-47b3-ad81-1506925280d3.jpg?1783945636","","https://cards.scryfall.io/normal/front/6/f/6f5a5786-e2be-4bb0-b971-81d1d5cc8f52.jpg?1783903574|https://cards.scryfall.io/normal/front/0/0/004f2ea4-0477-49b2-ad06-5aac7991103d.jpg?1783906143|https://cards.scryfall.io/normal/front/6/3/639b70ba-a421-47aa-b356-3b261444e79a.jpg?1783906807|https://cards.scryfall.io/normal/front/8/a/8a861821-71a6-4e8a-9b39-928eb797bc09.jpg?1783907972|https://cards.scryfall.io/normal/front/1/d/1d9b18e5-d842-4114-b395-ff5dd42c94d9.jpg?1783915197"
"mpr-4","Bird","Token Creature — Bird","1","1","U","Flying","https://cards.scryfall.io/normal/front/2/6/26e0e196-36e6-4d7a-a76b-1c2a18270267.jpg?1783945636","","https://cards.scryfall.io/normal/front/0/0/000d9280-a79a-4f9f-822c-7aaecbff3337.jpg?1783911527|https://cards.scryfall.io/normal/front/8/c/8ccdac6c-5bce-4f39-a7d9-b459f5113812.jpg?1783913615|https://cards.scryfall.io/normal/front/8/7/87f13921-0eba-40ee-a4d5-8c4cf8411fa9.jpg?1783919209|https://cards.scryfall.io/normal/front/1/a/1a0cb299-057d-4c39-9d73-3a3512526e4a.jpg?1783928081"
"vow-11","Wolf","Token Creature — Wolf","3","2","R","","https://cards.scryfall.io/normal/front/0/0/001cc57e-f3fc-4790-a9e5-171b2e3e8739.jpg?1783924696","",""
"hob-4","Goblin Army","Token Creature — Goblin Army","0","0","B","","https://cards.scryfall.io/normal/front/0/0/0045408d-4ab9-48bf-84aa-c6d827682090.jpg?1785497563","","https://cards.scryfall.io/normal/front/2/e/2e2028b1-34c0-40b6-8f65-79f79a279996.jpg?1785497644"
"2xm-31","Copy","Token","","","","(This token can be used to represent a token that's a copy of a permanent.)","https://cards.scryfall.io/normal/front/6/8/6870a2af-80e1-4813-a332-2b1bd789f1c1.jpg?1783930223","","https://cards.scryfall.io/normal/front/b/2/b2a03ba1-2182-4074-99f5-f3952c1d37ec.jpg?1783902815|https://cards.scryfall.io/normal/front/f/4/f4e87a11-b3b1-47b2-bd73-f4c78d6fbe6c.jpg?1783902813|https://cards.scryfall.io/normal/front/4/e/4e119457-948d-4ef8-8c27-59fa675f766f.jpg?1783903565|https://cards.scryfall.io/normal/front/3/e/3e28bc58-b616-4a65-8d33-7cdd07405d41.jpg?1783904006"
"p03-2","Insect","Token Creature — Insect","1","1","G","","https://cards.scryfall.io/normal/front/a/a/aa47df37-f246-4f80-a944-008cdf347dad.jpg?1783944982","","https://cards.scryfall.io/normal/front/e/5/e5aa36ec-5f3a-405d-9a65-5a56a44dcee3.jpg?1783902801|https://cards.scryfall.io/normal/front/c/5/c5c3553b-010f-48ef-bca1-93ba12eaf558.jpg?1783906797|https://cards.scryfall.io/normal/front/9/d/9d3d855d-93a1-4ec4-af19-e544f271ae10.jpg?1783907678|https://cards.scryfall.io/normal/front/6/b/6bdefa47-2c39-4630-b8c4-bf1931cf2918.jpg?1783907967"
"fin-26","Hero","Token Creature — Hero","1","1","","","https://cards.scryfall.io/normal/front/0/0/00686381-e0a5-4cd3-8812-3b4aaefa31fa.jpg?1783906127","","https://cards.scryfall.io/normal/front/1/7/17fa0c1f-6737-487c-9101-0bec2e586795.jpg?1783906126|https://cards.scryfall.io/normal/front/2/c/2cb73e63-efee-44b4-9257-881b83d704a0.jpg?1783906127|https://cards.scryfall.io/normal/front/2/d/2d132d9b-00dd-4ab9-b195-1857f3cee37b.jpg?1783906135|https://cards.scryfall.io/normal/front/3/3/3308e4bf-950f-4b83-969a-2a95f077552f.jpg?1783906137"
"mpr-2","Saproling","Token Creature — Saproling","1","1","G","","https://cards.scryfall.io/normal/front/6/1/61587ac5-0cfe-4e5d-baa2-c9a458e40474.jpg?1783945636","","https://cards.scryfall.io/normal/front/2/4/248ade83-ac57-42d6-985c-1e4cc3639f36.jpg?1783903570|https://cards.scryfall.io/normal/front/3/4/34032448-fe31-44c7-845c-37fea0b8e762.jpg?1783904330|https://cards.scryfall.io/normal/front/d/4/d40a39b5-1361-4a12-8694-56f6307963ae.jpg?1783906764|https://cards.scryfall.io/normal/front/5/9/590abe94-9c71-4429-b1b5-8b5de877de03.jpg?1783909751|https://cards.scryfall.io/normal/front/5/a/5a88aa73-baca-49c2-a6c3-0a1624b6078b.jpg?1783918766"
"rtr-9","Rhino","Token Creature — Rhino","4","4","G","Trample","https://cards.scryfall.io/normal/front/1/3/1331008a-ae86-4640-b823-a73be766ac16.jpg?1783940381","","https://cards.scryfall.io/normal/front/6/2/62ba25b3-fbf5-40b8-9dbd-66215a31a258.jpg?1783902812|https://cards.scryfall.io/normal/front/d/3/d3f65365-03a7-48a4-9e9e-018330966124.jpg?1783902806|https://cards.scryfall.io/normal/front/2/7/27e5d346-d244-41a0-b344-f0410abdfaaa.jpg?1783913153|https://cards.scryfall.io/normal/front/b/c/bc651dc2-9a3b-470c-b415-ecce0a725433.jpg?1783925226"
"mma-5","Bat","Token Creature — Bat","1","1","B","Flying","https://cards.scryfall.io/normal/front/8/9/89d7ed94-564b-415c-b590-d89c972384a1.jpg?1783939954","","https://cards.scryfall.io/normal/front/1/0/100c0127-49dd-4a78-9c88-1881e7923674.jpg?1783909768|https://cards.scryfall.io/normal/front/6/7/677bd8b5-d751-4d17-9e6f-55eb2c30c3ed.jpg?1783912609|https://cards.scryfall.io/normal/front/0/0/00841e4b-0995-4fb5-93d6-e177beba4934.jpg?1783913608|https://cards.scryfall.io/normal/front/5/5/55368a15-e45b-4407-9c03-1b17bf84607a.jpg?1783924702"
"ogw-10","Elemental","Token Creature — Elemental","*","*","G","","https://cards.scryfall.io/normal/front/d/b/db67bc06-b6c9-49a0-beef-4d35842497cb.jpg?1783937859","","https://cards.scryfall.io/normal/front/0/0/008695e6-6d6f-4c16-bf05-377e8cc5f5ff.jpg?1783911524|https://cards.scryfall.io/normal/front/c/5/c5ad13b4-bbf5-4c98-868f-4d105eaf8833.jpg?1783934351"
"dom-14","Construct","Token Artifact Creature — Construct","0","0","","This creature gets +1/+1 for each artifact you control.","https://cards.scryfall.io/normal/front/c/5/c5eafa38-5333-4ef2-9661-08074c580a32.jpg?1783934929","","https://cards.scryfall.io/normal/front/3/8/3877d2d1-61f2-4295-b0fc-827965eaaefc.jpg?1783911690|https://cards.scryfall.io/normal/front/4/8/48fdadab-af27-46d3-bcf6-35e7affb1e43.jpg?1783915247|https://cards.scryfall.io/normal/front/4/a/4ad1fd1a-9c1e-4b01-974e-84f18d325cfc.jpg?1783918308|https://cards.scryfall.io/normal/front/9/1/914fecab-24c0-4179-84d6-ded78c29134f.jpg?1783919909"
"soi-13","Clue","Token Artifact — Clue","","","","{2}, Sacrifice this token: Draw a card.","https://cards.scryfall.io/normal/front/2/7/271afa7e-2126-4497-b871-9795b7355d69.jpg?1783937680","","https://cards.scryfall.io/normal/front/5/e/5e644586-888f-4e2e-8d66-8aa02bd79ec1.jpg?1783902798|https://cards.scryfall.io/normal/front/c/3/c321b9e4-ab7e-4e8a-988f-5463c776d685.jpg?1783904017|https://cards.scryfall.io/normal/front/3/3/33648889-2715-40f0-81fa-b6571d0bb0c9.jpg?1783904745|https://cards.scryfall.io/normal/front/4/c/4c9669e6-e093-4f88-9699-a1a32793bfa9.jpg?1783904743|https://cards.scryfall.io/normal/front/b/7/b7c52125-929a-4e03-a955-d55ae34a905b.jpg?1783925169"
"roe-3","Hellion","Token Creature — Hellion","4","4","R","","https://cards.scryfall.io/normal/front/a/c/acabc3ce-a3c1-4c6c-8022-9a96ffba59c6.jpg?1783941946","","https://cards.scryfall.io/normal/front/0/0/00a1209e-c4c3-4250-ad36-ef451f5e34cd.jpg?1783936802|https://cards.scryfall.io/normal/front/d/a/da59fb40-b218-452f-b161-3bde15e30c74.jpg?1783938230|https://cards.scryfall.io/normal/front/3/b/3b43b811-ec0f-4ad7-a152-f7f077bafaa4.jpg?1783940442"
"otj-17","Meteorite","Token Artifact","","","","When Meteorite enters the battlefield, it deals 2 damage to any target. {T}: Add one mana of any color.","https://cards.scryfall.io/normal/front/0/0/00b41ca9-0bf0-41fc-af65-854e602ee007.jpg?1783911520","",""
"p03-3","Sliver","Token Creature — Sliver","1","1","","","https://cards.scryfall.io/normal/front/f/3/f3b8ae33-f0c3-4fe7-8121-41307d13bb4a.jpg?1783944983","","https://cards.scryfall.io/normal/front/b/f/bf7501ee-783d-49c6-b381-1db056360b40.jpg?1783905787|https://cards.scryfall.io/normal/front/d/3/d3b0b046-c198-4b71-b82c-6b120a7414d7.jpg?1783906762|https://cards.scryfall.io/normal/front/0/0/00f50b09-3253-46a5-8639-5bc90c84b8e1.jpg?1783915237|https://cards.scryfall.io/normal/front/5/8/586c179a-feda-475d-9e32-01b58e22c846.jpg?1783916655"
"m21-11","Cat","Token Creature — Cat","2","2","G","","https://cards.scryfall.io/normal/front/f/6/f6541414-c506-449d-b3a8-79f47be531a9.jpg?1783930590","","https://cards.scryfall.io/normal/front/2/1/21450a75-26ec-4344-bebc-d55c2cf3fc1c.jpg?1783909753|https://cards.scryfall.io/normal/front/b/d/bdc3ab55-8b33-4604-ad78-26edbb23d218.jpg?1783912616|https://cards.scryfall.io/normal/front/0/1/010cd940-0c4f-4295-85f8-8562fc033d79.jpg?1783913125|https://cards.scryfall.io/normal/front/9/c/9cf66184-0df9-4a6b-bf4a-c5bd0d21b5b6.jpg?1783915251"
